내용	긍부정
볼거리있었던 백제문화단지 입장료 성인 6,000원 청소년 4,500원 성인2인과 청소년 1인인데 청룡의 해 이벤트로 용띠는 무료입장이라서 1인은 공짜입니다 정문을 지나면 정면에 사비궁 우측은 사찰인 능사 좌측은 생활구역 사비궁 뒷편은 위례성과 왕릉으로 꾸며져있어요 공간도 넓고 볼거리도 꽤 있어서 산책겸 살살 구경하다보면 제법 걸을게있어요 백제시대 궁궐과 귀족, 평민의 생활공간이 자세한 설명과 함께 잘 꾸며져 있어서 볼거리도 많았어요 경주는 학창시절 수학여행이나 성인이 되서도 종종 다녀와서 문화도 유물도 유적지도 익숙한데 부여는 처음이라 백제에 대해 알수있는 기회여서 뜻깊은 시간이었어요 바로 옆에 롯데아울렛 있어서 같이 둘러봐도 좋겠더라구요 부여가신다면 국립부여박물관과 백제문화단지는 꼭 가보길 추천드려요	1
너무 추워서 다 제대로 못봐서 아쉬웠어요 잘 꾸며져있고 아이들과 천천히 구경하면서 시간보내기 좋은곳이네요 다음에 가면 제대로 보고싶어요	1
좋아요	1
좋아요	1
좋아요 추천합니다	1
굿	1
여기 넘 좋아요! 관리도 엄청 잘 되어있고 ㅎㅎ 어좌에 직접 앉아볼 수도 있어요 ㅎㅎ 생각보다 엄청 넓으니 많이 걸을 준비 하셔요 ㅎㅎ	1
네이버 예약보다 리조트 이용할경우 할인이 더 많이 되네요.. 청용의 해라서 용띠는 무료입장입니다. 백보열 체험을 하게 되면 스탬프 찍는 게 있는데, 두번째 사진은 스탬프 찍는 위치에요. 나무집 상자를 찾으세요.	1
비가 와서 아쉽게도 백제문화단지 전체를 둘러보지 못했습니다.하지만 역사문화관만 봐도 얼마나 잘 지었는지 알수 있었습니다. 아이들 체험도 할수 있고 영상시청도 가능합니다. 짧지만 재밌는 시간이었습니다	1
굿	1
한적하고 볼게 많아서 좋았어요	1
10년 전에 왔다가 오랜만에 다시 찾았어요. 볼거리가 더욱 많아지고 정말 너무 좋네요. 특히 의상체험 꼭 해보세요!! 사진 찍어주시고 포토샵도 직접 해주시고, 캘리그라피도 그려주시는데 진짜 너무 친절하시고 너무 좋아요!! 진짜 덕분에 좋은 추억 만들어 갑니다!	1
좋아요	1
조아요	1
생각보다 실망 입장료대비해 조금 너무많은기대를 하였나봐요 백제문화에대하여 조금은 도움은되는데 모두 재현이라 ㆍㆍㆍ	0
가족여행으로 간 백제문화단지 생각보다 너무 좋았어요 가족모두 신청한 체험은 재밌고 상품으로 상장과 동전초코렛도 잘받았어요 체험을 하다보니 백제에 대해 더 배우는 시간이였네요 직원분들 모두 친절하셔어요 야외는 아직도 건물 만들고 정리중이던데 완공되고 조금 따뜻할때 다시 방문하면 좋을것 같아요	1
너무 멋지고 아이들과 한적하게 구경할게 많아요	1
부모님 아이들 모두에게 좋은 곳^^ 산책하기도 좋아요.	1
무료의상체험 사진도 잘나오고 친절하시고 너무 재미있었어요	1
입장할때 직원분도 친절하셨고 볼거리가 많았어요	1
추운 날이였지만 볼거리가 많았어요! 고양이도 있고 염소도 있고 토끼랑 닭 오리 등등 동물들 먹이도 직접 주고 즐거웠어요 산책로가 잘되어있어서 날씨가 좋을 때 오면 더 좋을 것 같아요	1
해설도 해줘서 좋아요~	1
	1
	1
	1
	1
	1
	1
	1
	1
	1
	1
	1
	1
	1
	1
	1
	1
	1
	1
	1
	1
	1
	1
	1
	1
	1
	1
	1
	1
	1
